trip_distance,fare_amount,passenger_count,total_amount
2.4,14.9,1.0,21.65
1.04,8.6,1.0,14.35
7.63,33.1,1.0,38.85
1.62,10.7,1.0,19.74
2.09,11.4,1.0,20.58
6.9,29.5,1.0,31.0
1.1,7.9,1.0,13.9
3.54,15.6,1.0,31.06
0.88,10.22,1.0,15.97
1.25,10.0,1.0,18.11
1.08,7.9,1.0,15.7
0.96,6.5,3.0,12.25
3.45,21.9,1.0,33.18
2.39,14.2,1.0,23.94
0.8,7.2,1.0,13.95
1.87,12.8,1.0,20.55
2.53,12.1,1.0,21.42
2.54,12.8,2.0,22.26
10.01,40.1,1.0,70.2
7.7,32.4,1.0,45.8
4.2,19.8,2.0,24.8
1.34,10.0,4.0,18.9
2.01,11.4,1.0,29.65
2.35,12.8,2.0,18.55
0.0,10.0,2.0,15.25
0.78,5.8,3.0,13.86
1.18,7.9,1.0,16.38
8.16,34.5,1.0,40.25
2.26,12.1,1.0,17.1
1.16,9.3,2.0,18.06
2.0,13.5,2.0,25.05
15.01,58.3,1.0,69.55
1.53,8.6,1.0,16.93
0.71,7.9,4.0,16.38
2.07,12.1,1.0,21.42
1.02,8.6,1.0,16.32
0.72,5.8,1.0,13.55
1.8,9.3,1.0,15.05
4.7,21.9,1.0,33.2
3.7,18.4,2.0,28.95
6.4,26.1,1.0,38.2
3.59,15.6,1.0,21.35
2.25,13.5,1.0,20.36
21.2,70.0,1.0,99.24
1.1,8.6,1.0,14.35
2.9,14.9,1.0,23.15
2.4,12.8,1.0,22.25
1.9,11.4,1.0,21.45
12.07,47.8,1.0,71.49
0.42,5.1,1.0,13.56
9.86,40.1,1.0,73.49
1.77,10.7,1.0,19.74
1.86,12.8,1.0,22.26
4.46,24.7,1.0,30.45
0.0,3.0,1.0,8.75
1.52,11.4,1.0,20.58
4.88,21.9,2.0,33.18
5.12,22.6,1.0,26.85
18.72,70.0,1.0,100.13
2.4,12.1,1.0,20.5
0.4,5.1,1.0,14.1
22.14,123.4,2.0,163.15
1.75,10.0,1.0,18.9
1.29,-11.4,1.0,-17.15
1.29,11.4,1.0,17.15
4.04,19.8,1.0,30.66
10.86,45.7,1.0,59.59
0.63,5.1,1.0,10.85
3.91,24.0,1.0,26.5
1.67,11.4,4.0,13.9
2.8,14.9,1.0,25.8
0.85,7.2,1.0,13.95
11.31,44.3,1.0,63.91
1.56,10.7,1.0,19.0
2.15,12.8,2.0,22.26
3.7,15.6,1.0,24.35
2.09,16.3,1.0,26.46
3.6,17.0,3.0,27.75
3.52,17.7,1.0,28.14
1.31,8.6,1.0,14.35
0.63,6.5,1.0,14.7
1.0,6.5,2.0,14.7
0.59,-5.8,1.0,-11.55
0.59,5.8,1.0,11.55
17.88,70.0,1.0,83.44
9.35,44.3,1.0,50.05
2.25,14.9,1.0,23.88
2.25,-15.6,2.0,-21.35
2.25,15.6,2.0,21.35
4.29,22.6,2.0,34.02
0.75,5.1,1.0,11.85
0.42,5.1,1.0,10.85
2.58,14.9,1.0,20.65
9.1,37.3,1.0,70.94
2.11,11.4,1.0,17.15
3.66,18.4,2.0,31.4
5.78,26.1,1.0,36.85
3.21,19.1,1.0,29.82
3.0,16.3,1.0,27.56
3.77,19.1,1.0,29.82
0.44,5.8,1.0,13.86
1.28,9.3,1.0,18.06
2.02,12.1,1.0,21.42
4.51,22.6,1.0,34.02
6.37,-31.7,1.0,-37.45
6.37,31.7,1.0,37.45
1.62,10.7,1.0,18.45
1.93,10.0,5.0,18.9
5.44,25.4,4.0,38.94
2.87,16.3,1.0,26.46
3.97,19.8,1.0,31.05
2.62,14.9,1.0,24.78
3.24,15.6,1.0,21.35
1.04,8.6,2.0,14.35
3.42,18.4,2.0,24.15
1.0,7.2,1.0,13.7
0.0,3.0,1.0,8.75
10.6,42.2,1.0,62.35
10.63,44.3,1.0,72.44
7.62,30.3,1.0,43.26
8.58,35.2,1.0,66.64
4.11,20.5,2.0,31.5
2.71,14.2,2.0,23.94
2.3,12.8,1.0,22.25
2.86,16.3,2.0,24.25
11.49,45.7,1.0,65.14
8.4,33.8,1.0,60.36
4.74,21.2,2.0,26.95
1.15,7.9,1.0,16.38
5.28,23.3,4.0,34.86
1.77,9.3,1.0,18.06
1.5,10.0,1.0,18.9
1.6,9.3,1.0,17.15
8.76,38.0,1.0,67.74
1.62,9.3,1.0,17.0
1.79,10.0,1.0,15.75
3.06,17.7,1.0,25.45
2.78,17.0,1.0,23.75
1.62,11.4,1.0,18.15
5.24,26.1,2.0,39.81
1.8,12.8,1.0,22.26
0.44,5.1,1.0,10.1
0.51,5.8,2.0,13.86
0.92,6.5,1.0,12.25
1.4,10.0,1.0,18.9
2.2,12.1,1.0,17.85
0.82,5.8,1.0,12.96
1.9,11.4,1.0,20.58
3.4,15.6,1.0,27.76
2.86,14.9,1.0,24.78
1.31,10.0,1.0,18.9
0.98,6.5,2.0,14.7
2.64,12.8,1.0,20.55
1.75,10.7,2.0,18.5
9.31,40.8,1.0,64.19
0.71,6.5,1.0,12.25
2.83,13.5,1.0,23.1
7.67,30.3,1.0,43.26
1.11,9.3,1.0,18.06
14.36,59.0,2.0,69.75
3.16,-14.9,1.0,-27.59
3.16,14.9,1.0,27.59
21.5,70.0,2.0,91.45
5.98,26.8,1.0,32.55
2.18,12.1,1.0,19.05
0.72,5.8,1.0,12.96
1.4,9.3,1.0,18.06
0.56,5.8,1.0,12.96
2.4,12.8,1.0,23.19
0.0,42.5,1.0,44.0
4.17,21.9,1.0,33.18
3.16,15.6,1.0,25.0
2.62,14.2,1.0,22.5
3.53,19.1,2.0,24.86
2.11,14.2,1.0,23.94
3.19,16.3,1.0,26.46
4.4,19.8,1.0,30.65
4.01,21.9,1.0,33.18
6.1,35.9,5.0,47.65
5.03,24.0,1.0,35.7
1.2,9.3,1.0,17.16
1.3,10.0,1.0,18.9
1.07,7.9,1.0,15.65
7.66,33.1,1.0,46.62
2.77,-14.2,1.0,-19.95
2.77,14.2,1.0,19.95
1.32,8.6,1.0,17.22
0.5,5.1,1.0,13.02
2.89,14.2,1.0,21.95
1.58,9.3,1.0,18.06
3.4,17.7,1.0,23.45
12.9,49.2,4.0,53.45
2.23,-13.5,1.0,-19.25
2.23,13.5,1.0,19.25
0.63,6.5,1.0,13.8
0.64,5.1,1.0,13.02
1.75,10.7,1.0,20.56
1.58,10.0,1.0,18.9
3.87,17.7,1.0,25.45
12.52,49.9,1.0,59.15
19.03,70.0,1.0,82.69
0.73,6.5,1.0,14.7
1.1,7.9,2.0,16.38
1.83,11.4,1.0,18.15
2.15,11.4,1.0,20.58
3.39,20.5,2.0,30.97
19.32,70.0,2.0,99.23
3.03,17.7,1.0,23.45
4.99,21.2,1.0,29.2
12.05,52.0,4.0,71.25
2.1,12.1,1.0,21.4
0.5,5.1,1.0,11.35
1.3,8.6,1.0,17.2
0.69,5.8,2.0,13.86
1.0,7.9,1.0,13.65
1.36,7.2,1.0,15.54
11.48,-48.5,1.0,-52.75
11.48,48.5,1.0,52.75
5.65,25.4,2.0,31.15
4.35,-19.1,1.0,-24.1
4.35,19.1,1.0,24.1
7.07,28.9,1.0,39.43
3.4,17.7,1.0,28.1
0.9,6.5,1.0,13.25
1.1,7.2,1.0,13.95
2.02,11.4,1.0,18.86
0.87,6.5,1.0,17.25
1.2,8.6,5.0,16.5
2.28,13.5,5.0,23.1
1.13,8.6,1.0,16.32
1.51,9.3,2.0,18.06
2.65,14.9,1.0,22.3
2.06,11.4,1.0,20.15
4.76,21.2,1.0,30.95
2.92,13.5,1.0,20.95
0.02,70.0,2.0,86.44
2.26,11.4,1.0,17.15
0.5,5.1,1.0,13.02
3.28,17.0,1.0,27.3
2.99,19.1,1.0,27.0
2.8,14.9,1.0,24.78
3.65,20.5,2.0,31.5
3.15,14.9,1.0,24.78
2.73,12.8,1.0,22.25
1.77,10.7,1.0,17.45
2.1,12.1,1.0,14.6
0.6,5.1,1.0,7.6
1.3,7.2,2.0,15.55
0.6,8.6,3.0,17.2
1.24,7.9,1.0,15.0
4.33,20.5,3.0,25.5
1.25,8.6,1.0,14.35
1.55,7.9,1.0,16.38
