trip_distance,fare_amount,passenger_count,total_amount
1.71,10.7,1.0,20.56
0.49,5.8,1.0,13.55
1.5,10.0,1.0,15.75
1.55,7.9,1.0,16.38
1.18,9.3,1.0,18.06
0.4,5.1,1.0,11.85
0.44,5.1,1.0,13.02
4.4,19.8,1.0,25.55
0.47,5.1,1.0,11.85
1.39,9.3,1.0,17.16
18.21,70.0,1.0,76.5
5.82,31.0,1.0,36.75
0.61,5.1,3.0,10.85
2.84,16.3,1.0,24.05
2.03,12.1,1.0,21.42
6.61,26.8,1.0,44.99
33.5,170.0,2.0,198.94
1.9,13.5,1.0,23.1
1.59,10.0,1.0,18.9
15.15,70.9,1.0,91.98
2.18,11.4,1.0,17.15
0.73,7.9,4.0,13.65
17.16,70.0,2.0,91.45
1.4,8.6,1.0,17.95
0.96,7.9,1.0,16.65
0.78,6.5,1.0,15.31
2.69,-14.9,1.0,-20.65
2.69,14.9,1.0,20.65
1.43,8.6,1.0,16.35
1.13,7.2,1.0,14.95
1.25,7.9,1.0,16.38
1.83,12.8,1.0,22.26
10.02,38.7,1.0,57.54
3.79,19.8,2.0,33.55
2.06,12.8,2.0,22.26
2.7,13.5,1.0,19.25
1.71,11.4,1.0,20.58
1.5,9.3,1.0,17.05
7.3,30.3,1.0,58.79
13.9,70.0,1.0,71.5
2.32,12.8,1.0,19.55
2.3,12.8,3.0,22.26
1.75,12.1,2.0,21.42
0.91,7.9,1.0,16.38
1.0,7.9,2.0,13.65
0.7,6.5,1.0,14.7
2.05,10.7,1.0,19.74
16.95,66.0,2.0,83.95
0.77,5.8,1.0,18.06
0.66,6.5,1.0,15.31
2.07,12.1,1.0,17.85
6.27,31.7,1.0,37.45
1.72,10.0,1.0,15.75
0.75,6.5,1.0,14.7
1.21,9.3,2.0,18.06
0.95,7.9,1.0,16.38
4.92,20.5,1.0,29.35
1.4,9.3,1.0,18.06
1.37,9.3,1.0,16.55
2.57,13.5,1.0,21.25
1.85,10.7,1.0,19.74
1.31,8.6,1.0,16.32
4.04,22.6,1.0,31.35
1.88,11.4,1.0,21.44
0.9,7.2,1.0,12.95
1.04,7.2,6.0,13.95
1.33,8.6,1.0,16.32
1.71,10.7,1.0,20.56
3.66,19.1,1.0,29.82
1.58,9.3,1.0,15.05
4.07,17.7,1.0,26.97
2.21,12.8,1.0,18.55
12.05,52.0,1.0,73.15
9.2,38.0,1.0,52.75
1.12,8.6,1.0,17.94
7.32,28.9,1.0,45.43
0.9,8.6,2.0,17.22
2.83,13.5,1.0,19.25
1.36,9.3,2.0,15.05
1.43,9.3,1.0,18.81
0.6,5.8,1.0,11.55
1.7,10.0,1.0,16.75
3.46,19.8,3.0,30.66
1.88,10.7,1.0,20.56
1.1,7.2,1.0,12.95
1.31,9.3,1.0,16.55
0.97,7.9,1.0,16.38
0.45,5.1,1.0,13.02
0.79,6.5,1.0,14.25
6.73,31.0,1.0,44.75
2.79,14.2,1.0,23.94
7.9,33.1,1.0,46.62
3.75,17.0,1.0,27.3
2.04,10.7,1.0,19.74
1.71,11.4,1.0,20.58
1.47,9.3,3.0,17.55
2.8,17.0,2.0,27.25
8.16,-33.1,4.0,-35.6
8.16,33.1,4.0,35.6
1.83,12.1,2.0,20.85
1.36,9.3,1.0,16.05
5.03,21.9,1.0,33.18
1.9,11.4,2.0,18.87
1.88,13.5,1.0,23.1
1.67,9.3,4.0,16.05
19.0,70.0,2.0,99.78
7.04,29.6,1.0,42.42
2.77,14.9,1.0,24.78
2.99,16.3,4.0,24.05
1.88,13.5,1.0,23.1
1.7,10.7,1.0,20.55
2.07,10.7,1.0,19.74
0.4,4.4,1.0,11.25
0.92,6.5,1.0,10.8
16.26,63.9,1.0,78.15
1.29,8.6,1.0,17.35
3.95,17.7,1.0,29.31
3.06,14.9,1.0,22.4
1.0,8.6,2.0,17.2
3.7,21.9,1.0,27.65
16.4,81.8,1.0,105.61
18.7,70.0,1.0,99.78
3.4,16.3,3.0,20.55
1.91,10.7,1.0,19.74
9.49,40.8,1.0,46.55
2.64,14.2,2.0,23.94
0.74,5.8,2.0,12.55
1.75,9.3,1.0,18.06
4.05,20.5,1.0,31.5
1.1,7.9,1.0,16.38
1.5,10.0,1.0,15.75
4.27,19.8,1.0,30.66
2.28,13.5,2.0,20.25
3.53,17.7,1.0,30.49
2.78,17.0,1.0,23.75
2.4,12.1,1.0,20.85
2.51,12.8,1.0,22.26
1.12,8.6,1.0,17.22
1.56,10.7,1.0,19.74
18.26,69.5,1.0,98.48
0.88,5.8,1.0,13.86
1.85,12.1,2.0,27.85
2.5,14.2,1.0,22.94
2.0,12.1,1.0,21.4
0.62,6.5,1.0,12.25
5.09,25.4,1.0,37.38
1.93,12.8,1.0,22.26
13.74,56.9,1.0,73.03
5.72,24.0,1.0,34.0
1.1,7.9,1.0,13.66
8.91,38.0,2.0,43.75
1.94,10.0,1.0,17.75
1.05,6.5,1.0,13.25
3.9,20.5,1.0,31.5
3.22,18.4,1.0,27.15
4.18,19.8,2.0,25.55
3.75,15.6,1.0,21.35
2.76,13.5,1.0,19.25
0.72,8.6,1.0,14.35
0.66,5.8,1.0,13.28
3.34,18.4,1.0,28.98
8.18,35.9,2.0,43.65
7.0,29.6,1.0,51.79
18.1,70.0,1.0,93.44
19.05,70.0,3.0,99.78
1.86,11.4,4.0,20.58
1.86,10.0,1.0,18.9
0.87,7.2,1.0,14.95
3.4,16.3,1.0,26.46
1.5,10.0,1.0,18.9
1.2,8.6,1.0,18.65
6.89,29.6,1.0,42.42
2.7,14.9,5.0,23.65
0.66,7.2,2.0,15.54
22.63,70.0,2.0,91.45
1.18,7.2,1.0,15.54
1.3,9.3,1.0,17.05
1.15,7.2,1.0,15.54
3.32,17.0,1.0,24.75
2.3,10.7,1.0,16.45
3.04,-14.2,1.0,-19.95
3.04,14.2,1.0,19.95
11.59,49.9,1.0,54.9
0.88,7.9,1.0,17.74
8.36,33.1,1.0,56.97
3.0,15.6,0.0,23.85
2.54,12.8,1.0,22.26
2.09,12.8,1.0,22.26
0.6,6.5,1.0,14.7
5.97,30.3,1.0,36.05
1.98,11.4,5.0,17.15
1.3,7.9,1.0,16.35
3.5,18.4,1.0,28.95
1.89,12.8,1.0,20.55
5.21,28.2,1.0,33.96
1.49,7.9,1.0,17.06
4.41,21.2,1.0,28.95
2.61,12.8,1.0,18.55
1.13,12.1,1.0,21.42
2.38,11.4,1.0,18.65
0.56,5.8,1.0,13.86
1.64,10.0,1.0,18.9
5.74,28.2,1.0,40.74
3.7,17.0,2.0,27.25
3.6,20.5,1.0,31.5
16.92,70.0,2.0,85.44
3.4,16.3,1.0,25.56
3.01,-17.0,1.0,-22.75
3.01,17.0,1.0,22.75
2.14,14.9,1.0,24.78
1.4,8.6,1.0,14.35
1.47,8.6,1.0,17.22
3.4,16.3,1.0,22.05
2.5,11.4,1.0,26.4
2.51,12.1,1.0,22.31
1.65,11.4,2.0,19.72
3.02,14.9,3.0,21.65
1.23,8.6,2.0,17.22
2.88,17.7,1.0,24.45
2.27,12.1,1.0,21.42
2.7,14.2,1.0,21.95
3.73,17.0,1.0,27.3
0.73,5.1,1.0,13.02
1.5,9.3,1.0,15.05
1.8,11.4,1.0,17.15
0.6,5.8,1.0,13.51
4.64,19.1,1.0,29.82
3.4,16.3,1.0,25.05
1.4,8.6,1.0,16.3
9.36,38.0,1.0,43.75
8.54,35.2,1.0,57.89
1.68,9.3,1.0,17.23
7.84,31.0,1.0,60.18
1.72,10.0,1.0,17.75
0.89,-6.5,1.0,-12.25
0.89,6.5,1.0,12.25
1.08,7.9,1.0,15.15
1.25,8.6,1.0,17.0
3.0,13.5,1.0,23.0
7.65,30.3,1.0,55.44
4.01,17.0,1.0,27.3
4.27,21.2,1.0,29.95
8.94,40.1,1.0,45.85
2.03,11.4,1.0,16.68
8.62,34.5,1.0,48.3
2.8,13.5,1.0,23.1
0.81,7.2,1.0,15.54
0.7,6.5,2.0,17.25
2.6,16.3,1.0,22.05
4.97,23.3,2.0,34.86
0.47,5.1,1.0,13.02
0.94,7.2,1.0,15.54
2.02,10.7,1.0,19.74
1.82,11.4,1.0,17.15
0.5,5.8,1.0,13.85
3.2,14.9,1.0,22.65
1.4,7.9,1.0,13.9
2.0,10.7,1.0,19.7
7.38,30.3,1.0,58.44
10.4,45.0,4.0,77.29
1.97,10.7,1.0,19.74
2.8,17.0,1.0,25.75
1.89,9.3,1.0,18.05
4.71,19.8,1.0,34.26
3.5,17.7,1.0,28.14
2.7,14.9,1.0,25.81
5.2,21.9,1.0,32.65
1.0,7.2,1.0,12.95
18.29,70.0,1.0,86.5
3.6,20.5,1.0,31.5
1.6,8.6,1.0,17.2
2.63,16.3,1.0,26.46
6.0,28.9,1.0,39.65
2.45,14.9,1.0,22.65
1.8,10.0,4.0,18.25
1.47,10.0,1.0,18.0
3.0,15.6,1.0,25.62
0.8,6.5,1.0,14.7
1.0,6.5,1.0,12.25
1.5,10.7,1.0,16.45
7.52,33.8,1.0,39.55
1.3,7.9,1.0,16.4
2.5,12.1,1.0,22.3
1.63,10.7,1.0,19.74
2.4,12.1,2.0,21.42
1.34,10.7,2.0,16.45
1.2,7.9,2.0,16.38
1.14,7.9,2.0,14.65
2.39,13.5,1.0,23.1
18.2,70.0,1.0,91.8
5.53,28.2,1.0,40.74
0.67,6.5,1.0,13.25
2.02,12.8,1.0,22.26
0.83,5.8,2.0,10.8
1.23,7.2,1.0,12.95
0.59,5.1,1.0,12.12
2.3,13.5,1.0,23.1
0.4,4.4,1.0,12.15
0.9,6.5,1.0,14.25
7.8,31.0,1.0,35.25
7.2,33.8,1.0,45.31
2.4,13.5,1.0,23.1
0.6,7.2,1.0,15.54
2.8,14.2,1.0,21.95
1.76,9.3,1.0,18.06
1.76,11.4,1.0,19.15
0.79,5.8,1.0,13.86
1.4,10.0,2.0,18.0
5.88,27.5,1.0,43.69
2.86,14.9,1.0,24.78
2.16,14.2,2.0,23.94
2.49,14.2,1.0,20.95
7.19,33.8,2.0,47.46
0.35,3.7,1.0,9.45
2.34,12.1,1.0,21.42
1.68,10.0,1.0,20.47
19.18,70.0,1.0,90.55
8.25,35.2,1.0,52.89
2.21,14.9,1.0,24.78
0.66,6.5,1.0,14.7
5.43,24.0,1.0,35.7
10.9,42.9,1.0,52.34
5.74,29.6,1.0,42.42
3.93,19.1,1.0,29.82
5.69,26.8,1.0,42.31
1.1,8.6,1.0,17.2
0.28,4.4,1.0,12.18
0.71,5.8,1.0,13.86
5.4,26.8,1.0,34.55
11.35,43.6,1.0,74.3
0.71,5.8,1.0,13.86
2.55,14.2,1.0,23.94
0.0,-95.0,1.0,-99.25
0.0,95.0,1.0,99.25
1.75,-9.3,1.0,-14.3
1.75,9.3,1.0,14.3
2.43,12.1,1.0,21.42
1.14,7.2,1.0,13.95
15.03,60.4,1.0,69.65
1.02,-8.6,1.0,-14.35
1.02,8.6,1.0,14.35
1.68,12.1,4.0,17.85
2.8,14.9,1.0,22.65
3.44,19.8,1.0,25.55
11.19,45.0,1.0,76.43
2.01,10.7,1.0,20.56
1.64,9.3,2.0,18.06
17.5,70.0,0.0,91.8
2.65,14.2,1.0,19.95
1.23,8.6,1.0,17.22
0.85,5.8,1.0,13.86
2.48,13.5,1.0,24.06
1.0,7.2,1.0,11.64
1.3,10.0,1.0,18.9
1.58,8.6,1.0,17.22
0.64,5.1,1.0,10.85
2.2,12.8,1.0,18.55
6.39,28.2,1.0,42.44
6.51,33.1,1.0,38.85
1.35,7.9,1.0,15.01
6.1,31.0,1.0,44.1
2.1,12.8,1.0,20.55
19.12,75.1,1.0,94.87
0.52,6.5,1.0,14.7
2.66,15.6,1.0,27.76
2.02,11.4,1.0,18.15
0.23,4.4,1.0,11.28
0.92,7.2,1.0,14.64
7.44,200.0,1.0,201.75
1.09,6.5,1.0,12.25
10.0,40.1,1.0,70.2
1.14,8.6,1.0,14.35
0.24,4.4,1.0,10.15
1.62,9.3,2.0,18.06
2.37,11.4,2.0,20.58
2.84,45.0,1.0,72.97
0.8,7.2,1.0,12.95
2.7,14.2,1.0,21.95
3.2,19.1,1.0,26.85
1.75,10.0,1.0,15.75
1.47,9.3,1.0,18.06
1.94,11.4,1.0,20.58
0.48,5.8,1.0,13.86
5.27,24.7,3.0,32.45
0.61,6.5,1.0,13.25
0.9,7.9,4.0,16.38
1.43,9.3,1.0,15.05
0.73,6.5,2.0,14.7
0.0,14.0,1.0,19.7
0.9,19.0,1.0,25.95
2.08,-12.1,2.0,-17.85
2.08,12.1,2.0,17.85
1.56,-11.4,2.0,-17.15
1.56,11.4,2.0,17.15
3.38,17.0,3.0,27.3
3.32,14.2,3.0,22.95
0.98,5.8,3.0,13.0
4.86,29.6,2.0,35.35
7.5,32.4,1.0,38.15
2.62,14.2,1.0,23.94
1.47,11.4,1.0,20.58
1.52,-10.0,1.0,-15.0
1.52,10.0,1.0,15.0
4.81,24.0,1.0,37.19
0.75,7.2,1.0,15.54
0.75,5.8,1.0,13.86
1.45,12.1,1.0,17.85
8.14,33.1,1.0,54.54
2.1,10.7,1.0,19.7
2.22,12.1,1.0,17.85
5.75,24.7,1.0,33.95
3.5,20.5,2.0,29.25
3.13,15.6,1.0,21.35
2.64,14.9,1.0,24.78
1.54,9.3,1.0,18.06
2.7,15.6,1.0,21.6
0.9,5.8,3.0,15.0
2.31,16.3,1.0,22.05
23.46,93.3,1.0,104.49
3.94,20.5,1.0,24.0
1.7,10.7,1.0,20.55
0.79,7.2,1.0,12.95
1.2,7.9,1.0,16.38
0.77,7.9,1.0,16.38
3.8,17.0,1.0,24.75
1.6,9.3,1.0,18.05
3.98,17.0,1.0,21.25
22.39,82.1,1.0,84.6
1.06,8.6,1.0,17.22
0.53,4.4,3.0,10.15
1.3,9.3,1.0,18.06
1.13,7.9,2.0,16.38
1.43,10.0,3.0,17.0
17.15,-70.0,2.0,-76.5
17.15,70.0,2.0,76.5
1.69,10.0,1.0,19.69
1.59,12.1,1.0,18.35
3.19,20.5,1.0,30.6
4.58,20.5,1.0,30.19
3.0,15.6,1.0,25.62
3.42,17.0,1.0,27.3
0.63,5.8,1.0,11.55
0.0,60.0,1.0,66.0
1.13,7.9,1.0,14.65
0.49,4.4,1.0,12.18
5.62,26.8,2.0,40.69
0.0,72.0,1.0,91.25
0.86,6.5,5.0,14.7
1.95,12.8,1.0,19.55
3.9,18.4,2.0,28.95
4.82,22.6,1.0,34.02
1.33,9.3,1.0,16.05
1.32,8.6,1.0,14.6
1.96,10.7,1.0,15.2
3.6,16.3,1.0,22.05
0.67,5.8,1.0,15.01
0.73,7.2,1.0,16.19
4.38,21.2,1.0,32.34
3.5,18.4,1.0,29.0
20.33,70.0,1.0,92.69
1.08,8.6,1.0,17.22
3.85,-17.7,1.0,-21.95
3.85,17.7,1.0,21.95
7.33,-28.9,1.0,-33.15
7.33,28.9,1.0,33.15
1.51,-10.0,1.0,-12.5
1.51,10.0,1.0,12.5
8.64,34.5,1.0,63.83
15.21,60.4,1.0,66.15
0.97,5.8,1.0,13.86
1.4,10.7,1.0,16.45
1.3,8.6,1.0,17.2
4.7,24.0,1.0,35.7
4.73,22.6,1.0,34.02
1.72,11.4,1.0,17.15
16.81,70.0,2.0,99.78
5.73,25.4,1.0,45.71
17.67,70.0,2.0,83.44
2.1,14.2,2.0,23.54
1.1,7.9,1.0,17.74
3.58,16.3,3.0,24.31
1.2,8.6,1.0,17.2
1.4,7.9,1.0,16.4
2.6,13.5,1.0,24.05
27.57,110.1,4.0,121.29
1.81,10.0,1.0,18.9
1.67,10.7,1.0,19.74
1.27,8.6,1.0,16.35
18.62,70.0,1.0,83.44
2.9,14.2,1.0,23.9
1.0,7.2,1.0,15.5
4.4,24.7,1.0,44.68
2.31,13.5,1.0,20.75
6.12,-24.7,1.0,-28.95
6.12,24.7,1.0,28.95
8.25,33.8,1.0,49.29
2.27,14.9,1.0,25.81
16.51,68.1,1.0,73.85
4.27,21.2,1.0,33.69
0.15,3.0,1.0,7.25
18.18,70.0,1.0,89.7
1.43,10.7,1.0,16.45
0.95,6.5,1.0,14.7
4.07,21.2,1.0,29.95
1.8,12.8,1.0,22.25
2.11,12.1,1.0,21.42
2.94,-15.6,1.0,-21.35
2.94,15.6,1.0,21.35
1.4,12.1,4.0,17.85
2.36,13.5,1.0,19.25
2.65,14.2,1.0,23.94
6.42,28.2,1.0,40.74
2.6,13.5,1.0,24.05
3.9,19.1,1.0,26.85
10.93,42.9,1.0,65.23
6.7,29.6,1.0,33.85
4.85,20.5,1.0,24.75
2.31,10.7,1.0,16.45
3.3,17.0,1.0,27.3
3.94,19.1,1.0,31.06
3.6,15.6,1.0,19.85
10.94,41.5,1.0,44.0
0.76,7.2,2.0,15.54
0.05,-23.0,3.0,-25.75
0.05,23.0,3.0,25.75
1.67,9.3,3.0,18.06
1.41,9.3,1.0,15.05
2.51,12.1,1.0,18.54
4.28,19.1,1.0,33.79
8.49,33.8,1.0,57.74
8.27,33.1,1.0,61.8
2.1,12.8,1.0,22.26
1.1,10.7,1.0,19.74
1.93,19.1,1.0,24.1
4.27,23.3,5.0,25.8
1.3,7.9,0.0,16.38
11.38,45.0,1.0,49.25
18.57,71.6,3.0,90.67
1.04,8.6,1.0,13.32
16.74,70.0,1.0,83.44
9.2,35.9,1.0,63.34
7.67,38.0,1.0,60.83
18.54,70.0,2.0,83.44
18.37,70.0,2.0,91.45
1.67,10.7,1.0,19.74
1.29,8.6,2.0,14.35
3.8,19.8,1.0,27.55
1.85,11.4,1.0,20.58
1.21,8.6,1.0,15.35
1.13,8.6,2.0,15.35
0.0,24.85,1.0,29.1
3.44,17.0,2.0,22.75
1.17,8.6,1.0,16.35
1.11,8.6,1.0,14.35
3.35,17.7,1.0,28.14
0.84,7.2,1.0,14.25
0.37,5.1,1.0,13.56
1.7,10.7,1.0,16.45
20.47,-75.1,1.0,-86.29
20.47,75.1,1.0,86.29
19.84,70.0,1.0,94.19
2.54,17.7,1.0,20.2
10.11,41.5,1.0,60.55
0.0,-70.0,1.0,-73.25
0.0,70.0,1.0,73.25
9.53,40.1,1.0,71.1
1.58,9.3,1.0,18.06
6.7,28.9,1.0,45.04
10.35,35.0,2.0,50.92
3.34,17.7,1.0,27.67
0.6,5.8,1.0,11.55
1.86,12.1,4.0,22.31
1.69,11.4,3.0,17.15
3.83,17.7,1.0,21.95
27.59,101.0,1.0,115.44
10.84,45.0,1.0,49.25
1.59,11.4,1.0,20.43
25.81,96.1,1.0,120.07
18.59,-70.0,1.0,-83.44
18.59,70.0,1.0,83.44
1.68,10.0,3.0,15.75
1.49,10.0,2.0,16.75
2.0,12.1,2.0,17.1
18.01,70.0,3.0,76.5
17.63,70.0,2.0,99.78
0.0,300.0,4.0,301.0
18.01,70.0,3.0,100.13
16.2,82.7,1.0,100.45
5.17,24.0,1.0,35.7
4.56,40.0,1.0,55.06
8.89,35.9,1.0,40.15
9.9,40.8,1.0,51.21
4.52,21.2,1.0,29.65
1.2,8.6,1.0,14.35
2.0,11.4,1.0,21.45
2.4,12.8,1.0,22.25
1.24,7.2,1.0,15.54
1.86,12.1,1.0,17.85
2.24,12.8,1.0,22.26
2.31,13.5,1.0,23.1
0.39,4.4,1.0,12.15
5.37,27.5,2.0,39.9
0.6,5.1,1.0,13.0
10.98,44.3,1.0,53.55
11.87,49.2,1.0,62.04
10.15,41.5,1.0,44.0
2.41,14.9,5.0,24.78
18.65,70.0,1.0,93.44
17.89,70.0,2.0,103.86
15.26,61.1,1.0,78.07
2.45,13.5,1.0,23.1
4.39,22.6,1.0,34.02
0.66,5.8,1.0,13.55
0.66,-5.1,2.0,-10.85
0.66,5.1,2.0,10.85
7.59,29.6,1.0,56.8
1.11,7.9,1.0,17.74
11.42,49.2,1.0,65.04
1.95,10.7,1.0,18.09
7.35,32.4,1.0,45.78
0.92,5.8,1.0,13.8
1.57,9.3,1.0,18.06
3.15,17.7,1.0,29.31
4.81,26.1,1.0,38.22
17.48,70.0,1.0,77.5
2.71,15.6,1.0,24.0
0.96,8.6,1.0,17.94
5.08,21.9,2.0,27.65
1.0,9.3,2.0,18.06
18.65,70.0,1.0,99.78
18.43,70.0,1.0,90.9
17.23,70.0,1.0,92.5
1.86,10.0,1.0,17.33
1.39,9.3,1.0,15.05
1.71,12.1,4.0,20.53
7.84,31.7,2.0,35.95
1.4,10.7,1.0,19.74
1.6,10.0,2.0,15.75
10.44,40.8,1.0,46.55
11.94,52.7,1.0,67.99
9.42,38.0,1.0,68.03
18.23,70.0,2.0,99.78
18.25,70.0,1.0,103.86
18.83,70.0,2.0,99.78
3.1,-18.4,2.0,-24.15
3.1,18.4,2.0,24.15
11.12,43.6,2.0,57.07
6.16,28.2,3.0,44.59
18.37,70.0,2.0,88.44
16.32,70.0,1.0,99.78
4.24,22.6,1.0,34.02
3.56,19.8,1.0,25.55
3.39,18.4,1.0,24.15
1.05,7.2,1.0,14.65
1.99,12.8,1.0,19.3
3.5,17.0,1.0,27.25
8.88,40.1,2.0,49.35
10.9,42.9,1.0,47.15
20.48,70.0,2.0,98.88
8.67,34.5,1.0,64.38
4.77,20.5,5.0,24.75
1.0,7.2,2.0,12.95
0.47,6.5,1.0,15.92
2.62,13.5,2.0,23.1
10.53,43.6,1.0,50.0
1.98,10.0,1.0,15.75
1.46,7.9,1.0,13.65
1.01,6.5,1.0,12.25
0.01,3.0,1.0,7.25
18.2,70.0,1.0,77.75
0.96,7.2,1.0,14.89
1.45,10.0,1.0,19.69
10.3,84.0,1.0,101.75
2.2,12.8,1.0,22.26
8.5,39.4,1.0,62.51
17.7,70.0,3.0,99.78
1.43,8.6,2.0,15.35
5.44,26.1,1.0,38.22
1.18,8.6,2.0,31.54
18.28,70.0,4.0,88.44
19.19,70.0,2.0,91.45
9.6,38.0,1.0,65.19
18.09,70.0,1.0,90.19
1.09,10.0,1.0,19.69
9.45,37.3,1.0,65.25
11.95,44.3,2.0,56.05
1.27,7.9,1.0,16.38
19.29,70.0,1.0,98.88
10.21,40.1,1.0,62.77
1.0,6.5,1.0,14.7
1.6,10.0,1.0,18.9
1.9,12.1,2.0,21.4
18.0,70.0,2.0,88.44
18.82,70.0,6.0,104.3
15.64,61.8,1.0,79.26
0.64,30.0,1.0,37.2
1.23,9.3,1.0,18.06
28.21,70.0,1.0,99.78
3.56,19.8,1.0,30.66
3.45,19.1,1.0,29.82
0.0,83.0,1.0,90.25
0.81,6.5,1.0,14.58
8.5,35.2,1.0,49.14
18.24,70.0,2.0,99.78
20.52,-70.0,2.0,-80.19
20.52,70.0,2.0,80.19
17.4,70.0,1.0,93.44
12.2,51.3,1.0,60.55
1.34,10.0,1.0,18.9
4.68,19.1,1.0,23.35
18.01,70.0,1.0,88.5
9.68,39.4,1.0,52.03
1.66,12.1,1.0,17.85
17.41,70.0,2.0,99.78
1.57,10.7,2.0,19.74
5.54,27.5,4.0,35.75
17.53,-65.3,1.0,-69.55
17.53,65.3,1.0,69.55
17.9,70.0,2.0,83.5
12.0,49.9,1.0,62.4
18.76,70.0,1.0,99.23
7.02,28.9,1.0,45.43
17.59,70.0,1.0,99.78
0.12,3.0,1.0,5.5
1.28,8.6,1.0,17.22
0.82,6.5,5.0,14.7
1.33,10.0,5.0,18.9
2.18,11.4,5.0,17.15
20.64,70.0,1.0,95.88
13.12,53.4,1.0,57.65
1.0,9.3,1.0,18.06
1.1,9.3,2.0,18.06
7.8,-32.4,1.0,-36.65
7.8,32.4,1.0,36.65
19.96,77.9,1.0,89.09
12.4,47.8,1.0,89.03
1.42,-7.9,1.0,-12.15
1.42,7.9,1.0,12.15
2.04,11.0,1.0,13.54
1.75,10.0,1.0,18.0
9.09,35.9,1.0,40.15
1.9,10.7,1.0,19.7
0.3,70.0,1.0,73.25
10.28,41.5,1.0,54.55
6.73,28.9,1.0,33.15
9.57,38.0,1.0,42.25
2.46,17.0,1.0,25.0
5.0,22.6,1.0,34.02
11.84,47.1,1.0,79.5
11.64,47.8,1.0,68.11
29.08,70.0,2.0,88.44
0.02,3.0,1.0,7.25
18.19,70.0,1.0,84.5
18.59,70.0,2.0,98.88
8.95,37.3,1.0,61.74
0.0,3.0,1.0,5.5
10.84,42.9,1.0,77.49
2.69,15.6,1.0,21.35
20.17,70.0,3.0,99.78
14.55,55.5,1.0,81.69
1.21,10.0,1.0,18.9
9.89,38.0,1.0,42.25
3.27,16.3,1.0,26.46
1.14,9.3,1.0,16.05
17.89,80.0,1.0,93.44
7.8,30.3,1.0,34.55
1.1,8.6,1.0,17.22
4.28,21.9,1.0,33.18
1.3,10.0,2.0,18.9
11.2,48.5,1.0,54.25
9.98,40.8,1.0,45.05
1.44,8.6,1.0,16.35
1.4,9.3,1.0,18.05
0.7,6.5,1.0,14.7
10.12,42.2,1.0,86.45
19.73,-90.0,1.0,-102.19
19.73,90.0,1.0,102.19
0.0,70.0,1.0,88.94
4.29,17.7,1.0,21.95
3.46,18.4,1.0,28.98
17.8,70.0,1.0,104.29
2.08,12.8,1.0,22.26
0.94,7.2,1.0,15.54
9.34,43.6,2.0,59.22
1.43,8.6,1.0,17.22
1.71,16.3,1.0,26.46
4.17,23.3,2.0,36.31
2.27,11.4,1.0,20.5
12.24,49.9,1.0,70.98
1.0,7.2,1.0,15.54
2.59,15.6,1.0,25.62
0.47,5.1,1.0,14.1
2.9,14.9,2.0,24.78
1.5,10.0,1.0,15.0
1.9,10.7,1.0,15.7
20.8,70.0,1.0,99.24
5.64,45.0,1.0,76.01
2.64,13.5,2.0,24.06
1.83,11.4,1.0,20.58
2.49,14.2,2.0,19.95
1.2,7.9,1.0,15.65
4.86,21.9,1.0,33.18
3.24,15.6,1.0,23.53
4.57,-24.0,1.0,-29.75
4.57,24.0,1.0,29.75
0.0,35.0,1.0,46.2
0.62,5.8,1.0,12.36
2.13,10.7,1.0,16.45
2.85,13.5,1.0,19.42
21.9,70.0,1.0,100.14
0.74,5.1,1.0,11.85
3.4,18.4,1.0,30.15
2.06,12.1,2.0,17.85
0.92,7.2,6.0,16.19
1.99,10.0,1.0,19.5
3.78,17.0,1.0,25.75
1.31,10.0,1.0,18.11
1.97,11.4,1.0,20.58
0.75,6.5,1.0,14.7
1.51,10.7,1.0,19.62
1.04,7.9,2.0,16.38
2.03,12.1,1.0,17.85
2.7,15.6,1.0,25.6
1.46,10.7,4.0,19.74
0.9,0.0,1.0,0.0
9.29,35.2,1.0,67.86
0.35,5.1,1.0,13.02
1.8,10.0,1.0,20.5
2.7,12.8,1.0,18.55
3.73,17.0,1.0,27.3
7.23,37.3,1.0,43.05
0.0,5.1,1.0,12.85
5.93,24.7,2.0,31.45
1.61,8.6,1.0,16.1
1.2,7.9,1.0,15.15
4.4,20.5,1.0,30.19
0.8,6.5,1.0,14.7
0.6,5.8,1.0,14.45
1.5,10.0,1.0,19.65
1.5,7.9,2.0,16.38
6.46,34.5,1.0,41.25
0.59,5.1,1.0,13.02
2.73,14.2,1.0,21.95
7.21,28.9,1.0,31.4
0.27,4.4,1.0,12.18
1.26,17.0,1.0,27.0
7.2,31.7,1.0,37.45
1.9,10.7,1.0,18.95
2.2,12.1,1.0,21.4
1.98,12.8,1.0,22.26
5.36,23.3,1.0,34.86
1.67,8.6,1.0,15.35
5.27,26.8,1.0,39.06
1.2,7.2,2.0,15.5
4.0,19.1,1.0,31.06
0.97,7.9,2.0,16.38
1.8,10.7,1.0,19.74
2.4,-12.8,1.0,-18.55
2.4,12.8,1.0,18.55
1.51,9.3,1.0,18.06
1.6,10.7,1.0,16.45
1.7,10.0,1.0,15.75
3.36,15.6,1.0,22.35
3.07,15.6,1.0,21.35
1.08,7.2,1.0,15.54
0.6,5.1,1.0,13.55
1.3,7.9,1.0,13.65
5.5,23.3,1.0,36.3
8.38,38.0,1.0,52.5
